Step : 1	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
Ne1+		484.12	2.20	9.68	9.68	1.50	1.50	300.48	20.00	1.00		0.00
Mg1+		535.04	2.02	10.70	10.70	1.50	1.50	274.30	24.00	1.00		0.00
Si1+		610.62	1.73	12.21	12.21	1.50	1.50	253.96	28.00	1.00		0.00
S1+		668.72	1.57	13.37	13.37	1.50	1.50	237.55	32.00	1.00		0.00
Ca1+		776.14	1.36	15.52	15.52	1.50	1.50	212.47	40.00	1.00		0.00
Fe1+		978.00	300.00	19.56	19.56	30.00	30.00	179.57	56.00	1.00		0.00
Step : 22	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		103.71	6.08	2.07	2.07	1.50	1.50	1296.43	1.00	1.00		0.00
3He1+		181.05	5.46	3.62	3.62	1.50	1.50	748.49	3.00	1.00		0.00
He1+		208.95	5.32	4.18	4.18	1.50	1.50	648.21	4.00	1.00		0.00
C1+		373.87	3.15	7.48	7.48	1.50	1.50	374.25	12.00	1.00		0.00
O1+		437.81	2.48	8.76	8.76	1.50	1.50	324.11	16.00	1.00		0.00
N1+		407.97	2.84	8.16	8.16	1.50	1.50	346.48	14.00	1.00		0.00
Ne1+		489.69	2.15	9.79	9.79	1.50	1.50	289.89	20.00	1.00		0.00
Mg1+		541.45	1.98	10.83	10.83	1.50	1.50	264.63	24.00	1.00		0.00
Si1+		618.62	1.69	12.37	12.37	1.50	1.50	245.00	28.00	1.00		0.00
S1+		677.93	1.54	13.56	13.56	1.50	1.50	229.18	32.00	1.00		0.00
Ca1+		787.71	1.33	15.75	15.75	1.50	1.50	204.98	40.00	1.00		0.00
Fe1+		994.19	300.00	19.88	19.88	30.00	30.00	173.24	56.00	1.00		0.00
Step : 23	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		104.69	5.97	2.09	2.09	1.50	1.50	1250.71	1.00	1.00		0.00
3He1+		182.77	5.35	3.66	3.66	1.50	1.50	722.10	3.00	1.00		0.00
He1+		210.91	5.22	4.22	4.22	1.50	1.50	625.36	4.00	1.00		0.00
C1+		377.69	3.08	7.55	7.55	1.50	1.50	361.05	12.00	1.00		0.00
O1+		442.50	2.42	8.85	8.85	1.50	1.50	312.68	16.00	1.00		0.00
N1+		412.30	2.77	8.25	8.25	1.50	1.50	334.27	14.00	1.00		0.00
